,State,RTO,RTO Name,Year,Month,Metric,Name,Count
4118545,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-EDUCATION INSTITUTE BUS PERMIT,0
4118546,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-HEAVY GOODS (NP),19
4118547,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-HEAVY GOODS PERMIT,97
4118548,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-LIGHT GOODS (NP),6
4118549,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-LIGHT GOODS PERMIT,14
4118550,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-MEDIUM GOODS (NP),10
4118551,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-MEDIUM GOODS PERMIT,14
4118552,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-MOTOR CAB PERMIT,59
4118553,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-MULTI AXLE GOODS VCH(<=50tons),176
4118554,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-MULTI-AXLE TRAILER (> 50tons),15
4118555,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-Other,1
4118556,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Category,-PRIVATE SERVICE VEHICLE,0
4118557,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Purpose,Fresh Permit,405
4118558,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Purpose,Special Permit,0
4118559,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Purpose,Temporary Permit,8
4118560,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Type,Contract Carriage Permit,61
4118561,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Type,Goods Permit,125
4118562,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Type,National Permit,226
4118563,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Type,Private Service Vehicle Permit,0
4118564,KA,1,BENGALURU CENTRAL  RTO,2023,1,Permit Type,other type,1
4118565,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,FOUR WHEELER (Invalid Carriage),0
4118566,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,HEAVY GOODS VEHICLE,212
4118567,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,HEAVY PASSENGER VEHICLE,4
4118568,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,LIGHT GOODS VEHICLE,81
4118569,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,LIGHT MOTOR VEHICLE,1730
4118570,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,LIGHT PASSENGER VEHICLE,56
4118571,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,MEDIUM GOODS VEHICLE,12
4118572,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,MEDIUM PASSENGER VEHICLE,0
4118573,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,OTHER THAN MENTIONED ABOVE,0
4118574,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,THREE WHEELER(NT),1
4118575,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,THREE WHEELER(T),302
4118576,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,TWO WHEELER (Invalid Carriage),0
4118577,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,TWO WHEELER(NT),4827
4118578,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Category,TWO WHEELER(T),80
4118579,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Class,-Adapted Vehicle,0
4118580,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Class,-Ambulance,0
4118581,KA,1,BENGALURU CENTRAL  RTO,2023,1,Registration Class,-Articulated Vehicle,32
