,State,RTO,RTO Name,Year,Month,Metric,Name,Count
4121953,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-EDUCATION INSTITUTE BUS PERMIT,3
4121954,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-HEAVY GOODS (NP),53
4121955,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-HEAVY GOODS PERMIT,143
4121956,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-LIGHT GOODS (NP),3
4121957,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-LIGHT GOODS PERMIT,75
4121958,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MAXI CAB PERMIT,1
4121959,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MEDIUM GOODS (NP),23
4121960,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MEDIUM GOODS PERMIT,21
4121961,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MOTOR CAB PERMIT,229
4121962,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MOTOR CYCLE,0
4121963,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MOTORCYCLE,0
4121964,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MULTI AXLE GOODS VCH(<=50tons),117
4121965,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-MULTI-AXLE TRAILER (> 50tons),25
4121966,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-Other,2
4121967,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-PRIVATE SERVICE VEHICLE,0
4121968,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Category,-PULLER TRACTOR,0
4121969,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Purpose,Fresh Permit,694
4121970,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Purpose,Renewal of Permit,1
4121971,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Purpose,Special Permit,2
4121972,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Purpose,Temporary Permit,2
4121973,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Type,Contract Carriage Permit,236
4121974,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Type,Goods Permit,239
4121975,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Type,National Permit,224
4121976,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Type,Private Service Vehicle Permit,3
4121977,KA,1,BENGALURU CENTRAL  RTO,2024,1,Permit Type,other type,2
4121978,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,FOUR WHEELER (Invalid Carriage),0
4121979,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,HEAVY GOODS VEHICLE,229
4121980,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,HEAVY MOTOR VEHICLE,0
4121981,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,HEAVY PASSENGER VEHICLE,2
4121982,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,LIGHT GOODS VEHICLE,66
4121983,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,LIGHT MOTOR VEHICLE,2318
4121984,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,LIGHT PASSENGER VEHICLE,349
4121985,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,MEDIUM GOODS VEHICLE,24
4121986,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,MEDIUM PASSENGER VEHICLE,19
4121987,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,OTHER THAN MENTIONED ABOVE,20
4121988,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,THREE WHEELER(NT),0
4121989,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,THREE WHEELER(T),567
4121990,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,TWO WHEELER (Invalid Carriage),1
4121991,KA,1,BENGALURU CENTRAL  RTO,2024,1,Registration Category,TWO WHEELER(NT),6409
