,State,RTO,RTO Name,Year,Month,Metric,Name,Count
4115065,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-EDUCATION INSTITUTE BUS PERMIT,0
4115066,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-HEAVY GOODS (NP),14
4115067,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-HEAVY GOODS PERMIT,73
4115068,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-LIGHT GOODS (NP),1
4115069,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-LIGHT GOODS PERMIT,22
4115070,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MAXI CAB PERMIT,0
4115071,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MEDIUM GOODS (NP),25
4115072,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MEDIUM GOODS PERMIT,31
4115073,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MODULAR HYDRAULIC TRACTOR,0
4115074,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MOTOR CAB PERMIT,28
4115075,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MULTI AXLE GOODS VCH(<=50tons),127
4115076,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-MULTI-AXLE TRAILER (> 50tons),3
4115077,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-Other,4
4115078,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Category,-PRIVATE SERVICE VEHICLE,0
4115079,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Purpose,Fresh Permit,515
4115080,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Purpose,Special Permit,2
4115081,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Purpose,Temporary Permit,0
4115082,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Type,Contract Carriage Permit,28
4115083,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Type,Goods Permit,130
4115084,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Type,National Permit,170
4115085,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Type,Private Service Vehicle Permit,0
4115086,KA,1,BENGALURU CENTRAL  RTO,2022,1,Permit Type,other type,0
4115087,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,FOUR WHEELER (Invalid Carriage),0
4115088,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,HEAVY GOODS VEHICLE,113
4115089,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,HEAVY MOTOR VEHICLE,0
4115090,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,HEAVY PASSENGER VEHICLE,0
4115091,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,LIGHT GOODS VEHICLE,60
4115092,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,LIGHT MOTOR VEHICLE,1263
4115093,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,LIGHT PASSENGER VEHICLE,5
4115094,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,MEDIUM GOODS VEHICLE,50
4115095,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,MEDIUM MOTOR VEHICLE,0
4115096,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,MEDIUM PASSENGER VEHICLE,0
4115097,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,OTHER THAN MENTIONED ABOVE,0
4115098,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,THREE WHEELER(NT),1
4115099,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,THREE WHEELER(T),73
4115100,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,TWO WHEELER (Invalid Carriage),0
4115101,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,TWO WHEELER(NT),2610
4115102,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Category,TWO WHEELER(T),0
4115103,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Adapted Vehicle,0
4115104,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Ambulance,0
4115105,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Articulated Vehicle,7
4115106,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Bus,0
4115107,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Cash Van,20
4115108,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Construction Equipment Vehicle,0
4115109,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Crane Mounted Vehicle,0
4115110,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Earth Moving Equipment,0
4115111,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Educational Institution Bus,0
4115112,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Fork Lift,0
4115113,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Goods Carrier,195
4115114,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-M-Cycle/Scooter,2314
4115115,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-M-Cycle/Scooter-With Side Car,0
4115116,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Maxi Cab,0
4115117,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Mobile Clinic,0
4115118,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Moped,137
4115119,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Motor Cab,4
4115120,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Motor Car,1262
4115121,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Motor Cycle/Scooter-SideCar(T),0
4115122,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Motor Cycle/Scooter-Used For Hire,0
4115123,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Motorised Cycle (CC > 25cc),159
4115124,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Omni Bus,0
4115125,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Omni Bus (Private Use),0
4115126,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Private Service Vehicle,0
4115127,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Private Service Vehicle (Individual Use),1
4115128,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Quadricycle (Commercial),1
4115129,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Three Wheeler (Goods),6
4115130,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Three Wheeler (Passenger),67
4115131,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Three Wheeler (Personal),1
4115132,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Tractor (Commercial),0
4115133,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Trailer (Commercial),1
4115134,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Class,-Vehicle Fitted With Rig,0
4115135,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,CNG ONLY,97
4115136,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,DIESEL,410
4115137,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,DIESEL/HYBRID,0
4115138,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,DUAL DIESEL/LNG,0
4115139,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,ELECTRIC(BOV),133
4115140,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,LPG ONLY,12
4115141,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,NOT APPLICABLE,1
4115142,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,PETROL,3419
4115143,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,PETROL/CNG,18
4115144,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,PETROL/HYBRID,85
4115145,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Fuel,PETROL/LPG,0
4115146,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,ACTION CONSTRUCTION EQUIPMENT LTD.,0
4115147,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,ADISHWAR AUTO RIDE INDIA PVT LTD,0
4115148,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,AJAX ENGINEERING LTD,0
4115149,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,ALL TERRAIN CRANE,0
4115150,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,AMPERE VEHICLES PRIVATE LIMITED,10
4115151,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,ASHOK LEYLAND LTD,93
4115152,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,ATHER ENERGY LTD,8
4115153,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,AUDI AG,6
4115154,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,AUTOMOBILI LAMBORGHINI S.P.A,0
4115155,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BAJAJ AUTO LTD,294
4115156,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0
4115157,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BGAUSS AUTO PRIVATE LIMITED,0
4115158,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BMW INDIA PVT LTD,25
4115159,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BOUNCE ELECTRIC 1 PVT LTD,0
4115160,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,BYD INDIA PRIVATE LIMITED,0
4115161,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,0
4115162,KA,1,BENGALURU CENTRAL  RTO,2022,1,Registration Manufacturer,CATERPILLAR INDIA PRIVATE LIMITED,0
